
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe             6764 Console                    1     18,748 K
svchost.exe                   3372 Services                   0     11,652 K
ApplicationFrameHost.exe      4368 Console                    1     28,864 K
RuntimeBroker.exe             4504 Console                    1     29,228 K
SkypeHost.exe                 6344 Console                    1     11,560 K
dllhost.exe                   9316 Console                    1     13,096 K
MSASCuiL.exe                  2272 Console                    1      5,092 K
RtkNGUI64.exe                10492 Console                    1      8,880 K
TrueColorUI.exe              10488 Console                    1     17,148 K
quickset.exe                 10912 Console                    1     10,076 K
iTunesHelper.exe             10848 Console                    1      7,988 K
svchost.exe                  11128 Services                   0      6,244 K
WavesSvc64.exe               11112 Console                    1     12,660 K
OneDrive.exe                  9688 Console                    1     32,032 K
SpotifyWebHelper.exe          5660 Console                    1      4,968 K
svchost.exe                  11044 Console                    1     16,276 K
chrome.exe                    9844 Console                    1     94,104 K
SSScheduler.exe               6692 Console                    1        996 K
rpsystray.exe                10568 Console                    1     10,832 K
chrome.exe                    8244 Console                    1      5,112 K
iPodService.exe              11472 Services                   0      5,072 K
jusched.exe                  11528 Console                    1      5,596 K
chrome.exe                   11828 Console                    1      4,928 K
svchost.exe                  12108 Services                   0      6,472 K
chrome.exe                   12132 Console                    1     28,544 K
chrome.exe                     948 Console                    1     16,736 K
chrome.exe                     956 Console                    1     21,688 K
chrome.exe                    9856 Console                    1     17,780 K
chrome.exe                    8788 Console                    1     17,504 K
chrome.exe                   11448 Console                    1     14,588 K
chrome.exe                   10996 Console                    1     12,988 K
cmd.exe                      12568 Console                    1      1,408 K
conhost.exe                  12576 Console                    1      4,100 K
McChHost.exe                 12616 Console                    1      3,492 K
chrome.exe                   12628 Console                    1      7,408 K
IAStorIcon.exe               12756 Console                    1     17,248 K
nortonsecurity.exe           12988 Services                   0    143,192 K
nortonsecurity.exe           13184 Console                    1     11,384 K
SmartByteTelemetry.exe       14036 Services                   0      6,064 K
svchost.exe                   2528 Services                   0      6,716 K
svchost.exe                  15080 Services                   0     18,500 K
DDVRulesProcessor.exe        14516 Services                   0      6,868 K
DCCService.exe               10556 Services                   0     19,852 K
DSAPI.exe                    14208 Services                   0     30,368 K
MDLCSvc.exe                   8820 Services                   0     20,100 K
pcdrwi.exe                   13692 Services                   0     56,900 K
conhost.exe                  14296 Services                   0      3,156 K
DellSupportAssistRemedati    14524 Services                   0     27,500 K
DellUpService.exe            13296 Services                   0     32,624 K
svchost.exe                  13704 Services                   0     13,380 K
svchost.exe                  14332 Services                   0     14,232 K
IAStorDataMgrSvc.exe         15020 Services                   0     24,488 K
jhi_service.exe               8864 Services                   0      3,596 K
LMS.exe                       9160 Services                   0      6,388 K
PRSvc.exe                    14940 Services                   0     25,292 K
RichVideo.exe                14128 Services                   0      4,412 K
SgrmBroker.exe               14536 Services                   0      5,068 K
SupportAssistAgent.exe       15524 Services                   0     54,464 K
DDVDataCollector.exe         16184 Services                   0     11,612 K
DDVCollectorSvcApi.exe       16320 Services                   0      3,736 K
RuntimeBroker.exe             5084 Console                    1      6,920 K
svchost.exe                  12640 Services                   0      7,620 K
svchost.exe                  17420 Services                   0      5,636 K
SettingSyncHost.exe          18516 Console                    1      3,204 K
OfficeHubTaskHost.exe        19244 Console                    1     12,032 K
RemindersServer.exe          19464 Console                    1      7,816 K
RuntimeBroker.exe            16868 Console                    1      6,184 K
dllhost.exe                  21056 Services                   0      7,040 K
Microsoft.Photos.exe         21032 Console                    1     25,476 K
RuntimeBroker.exe            18036 Console                    1     32,672 K
WinStore.App.exe              5376 Console                    1     33,160 K
RuntimeBroker.exe            18536 Console                    1     15,932 K
SystemSettings.exe           18448 Console                    1     44,132 K
Calculator.exe               16024 Console                    1     22,624 K
RuntimeBroker.exe            12180 Console                    1      4,608 K
svchost.exe                   5564 Services                   0      5,796 K
svchost.exe                   1148 Services                   0      6,396 K
LockApp.exe                  16824 Console                    1     30,932 K
RuntimeBroker.exe            19036 Console                    1     22,280 K
svchost.exe                  16636 Services                   0      5,944 K
FileCoAuth.exe                7880 Console                    1      9,988 K
PickerHost.exe                1444 Console                    1     11,212 K
explorer.exe                 20276 Console                    1     44,300 K
Apowersoft Online Launche    12324 Console                    1     32,788 K
Online Video Converter.ex    10792 Console                    1     32,240 K
svchost.exe                   4224 Console                    1      4,448 K
svchost.exe                  19504 Console                    1      6,972 K
HxOutlook.exe                19528 Console                    1     70,960 K
HxTsr.exe                     7712 Console                    1     30,800 K
RuntimeBroker.exe            19552 Console                    1     11,384 K
svchost.exe                  20924 Services                   0     13,272 K
McVulCtr.exe                 20236 Services                   0     12,856 K
taskhostw.exe                24140 Console                    1     13,440 K
MCVULA~1.EXE                 13228 Console                    1      7,132 K
idea64.exe                   24016 Console                    1    792,728 K
fsnotifier64.exe              7052 Console                    1      2,464 K
conhost.exe                   2056 Console                    1      3,704 K
java.exe                      1152 Console                    1      8,540 K
conhost.exe                  23216 Console                    1      3,956 K
svchost.exe                  11672 Services                   0      5,432 K
Video.UI.exe                  4972 Console                    1     33,956 K
realdownloader264.exe        18412 Console                    1      3,716 K
RuntimeBroker.exe            23292 Console                    1      6,320 K
chrome.exe                   18696 Console                    1     11,820 K
MicrosoftEdge.exe            24636 Console                    1    106,192 K
browser_broker.exe           21636 Console                    1     20,296 K
RuntimeBroker.exe            18224 Console                    1     30,544 K
MicrosoftEdgeCP.exe           7288 Console                    1     20,900 K
MicrosoftEdgeCP.exe          18032 Console                    1    100,892 K
smartscreen.exe              16952 Console                    1     52,728 K
realsched.exe                24876 Console                    1        204 K
MicrosoftEdgeCP.exe          16408 Console                    1    292,396 K
McUICnt.exe                   3904 Console                    1      1,132 K
svchost.exe                  20172 Services                   0      6,272 K
svchost.exe                  11336 Services                   0      4,692 K
DellUpTray.exe               24720 Console                    1     43,092 K
MicrosoftEdgeCP.exe          12648 Console                    1    128,488 K
OfficeClickToRun.exe         14476 Services                   0     34,868 K
AppVShNotify.exe              9168 Services                   0      6,224 K
AppVShNotify.exe              2160 Console                    1      7,584 K
SearchIndexer.exe            19644 Services                   0     47,348 K
