
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe             6764 Console                    1     25,392 K
svchost.exe                   3372 Services                   0     11,628 K
ApplicationFrameHost.exe      4368 Console                    1     25,680 K
RuntimeBroker.exe             4504 Console                    1     31,728 K
SkypeHost.exe                 6344 Console                    1     11,352 K
dllhost.exe                   9316 Console                    1     11,924 K
MSASCuiL.exe                  2272 Console                    1      5,952 K
RtkNGUI64.exe                10492 Console                    1      8,660 K
TrueColorUI.exe              10488 Console                    1     17,876 K
quickset.exe                 10912 Console                    1     10,072 K
iTunesHelper.exe             10848 Console                    1      8,396 K
svchost.exe                  11128 Services                   0      6,072 K
WavesSvc64.exe               11112 Console                    1      9,152 K
OneDrive.exe                  9688 Console                    1     32,196 K
SpotifyWebHelper.exe          5660 Console                    1      5,256 K
svchost.exe                  11044 Console                    1     16,056 K
chrome.exe                    9844 Console                    1     88,140 K
SSScheduler.exe               6692 Console                    1      1,036 K
rpsystray.exe                10568 Console                    1     10,704 K
chrome.exe                    8244 Console                    1      5,328 K
iPodService.exe              11472 Services                   0      5,060 K
jusched.exe                  11528 Console                    1      5,936 K
chrome.exe                   11828 Console                    1      5,440 K
svchost.exe                  12108 Services                   0      6,580 K
chrome.exe                   12132 Console                    1     27,000 K
chrome.exe                     948 Console                    1     17,260 K
chrome.exe                     956 Console                    1     22,064 K
chrome.exe                    9856 Console                    1     17,860 K
chrome.exe                    8788 Console                    1     17,280 K
chrome.exe                   11448 Console                    1     15,000 K
chrome.exe                   10996 Console                    1     13,196 K
cmd.exe                      12568 Console                    1      1,492 K
conhost.exe                  12576 Console                    1      4,328 K
McChHost.exe                 12616 Console                    1      3,620 K
chrome.exe                   12628 Console                    1      7,772 K
IAStorIcon.exe               12756 Console                    1     17,352 K
nortonsecurity.exe           12988 Services                   0     25,992 K
nortonsecurity.exe           13184 Console                    1      9,560 K
SmartByteTelemetry.exe       14036 Services                   0      5,944 K
svchost.exe                   2528 Services                   0      7,412 K
svchost.exe                  15080 Services                   0     19,016 K
DDVRulesProcessor.exe        14516 Services                   0      8,100 K
DCCService.exe               10556 Services                   0     19,804 K
DSAPI.exe                    14208 Services                   0     29,944 K
MDLCSvc.exe                   8820 Services                   0     20,020 K
pcdrwi.exe                   13692 Services                   0     53,088 K
conhost.exe                  14296 Services                   0      3,292 K
DellSupportAssistRemedati    14524 Services                   0     27,808 K
DellUpService.exe            13296 Services                   0     30,808 K
svchost.exe                  13704 Services                   0     13,224 K
svchost.exe                  14332 Services                   0     14,672 K
IAStorDataMgrSvc.exe         15020 Services                   0     19,820 K
jhi_service.exe               8864 Services                   0      3,748 K
LMS.exe                       9160 Services                   0      6,896 K
PRSvc.exe                    14940 Services                   0     25,152 K
RichVideo.exe                14128 Services                   0      4,656 K
SgrmBroker.exe               14536 Services                   0      5,120 K
SupportAssistAgent.exe       15524 Services                   0     54,052 K
DDVDataCollector.exe         16184 Services                   0     11,088 K
